AUTOGLOSS REVIEW FILE
========================================================================
Review these auto-generated glosses. Mark any that seem wrong.
Glosses are composed from atom root concepts joined by '-'.

Middle          Count  Confidence  Autogloss                            Existing                 
------          -----  ----------  ---------                            --------                 
edy              1938  SOLID       cool-mark-end                        batch                    
ey                889  LOCKED      cool-end                             set                      
aiin              834  LOCKED      yield-iterate-iterate-halt           settle                   
ol                762  WEAK        work-frame                           continue                 
ar                677  WEAK        yield-input                          release                  
dy                675  SOLID       mark-end                             seal                     
eey               644  LOCKED      cool-cool-end                        deep                     
iin               560  LOCKED      iterate-iterate-halt                 iterate                  
al                521  WEAK        yield-frame                          gather                   
or                446  WEAK        work-input                           portion                  
ke                421  LOCKED      heat-cool                            steady                   
ain               420  LOCKED      yield-iterate-halt                   intake                   
ed                401  SOLID       cool-mark                            discharge                
eo                359  WEAK        cool-work                            open                     
eol               294  WEAK        cool-work-frame                      sustain                  
in                264  LOCKED      iterate-halt                         link                     
ck                197  PLAUSIBLE   adjust-heat                          hard                     
od                177  WEAK        work-mark                            precise                  
am                174  LOCKED      yield-final                          finalize                 
ai                174  LOCKED      yield-iterate                        open                     
ek                169  LOCKED      cool-heat                            exact                    
ee                151  LOCKED      cool-cool                            long                     
kch               148  PLAUSIBLE   heat-adjust-watch                    pulse                    
eeo               133  WEAK        cool-cool-work                       wide                     
ckh               127  PLAUSIBLE   adjust-heat-watch                    firm                     
opch              107  WEAK        work-pause-adjust-watch              operate                  
ct                 95  PLAUSIBLE   adjust-transfer                      control                  
eck                90  PLAUSIBLE   cool-adjust-heat                     rigid                    
eed                88  SOLID       cool-cool-mark                       extended                 
te                 87  SOLID       transfer-cool                        gather                   
eod                82  WEAK        cool-work-mark                       stand                    
pch                79  PLAUSIBLE   pause-adjust-watch                   pause                    
lch                74  WEAK        frame-adjust-watch                   strip                    
ok                 70  WEAK        work-heat                            seal                     
tch                65  PLAUSIBLE   transfer-adjust-watch                pound                    
et                 58  SOLID       cool-transfer                        path                     
lk                 58  WEAK        frame-heat                           frame                    
eek                54  LOCKED      cool-cool-heat                       lock                     
cth                49  PLAUSIBLE   adjust-transfer-watch                hazard                   
ly                 49  WEAK        frame-end                            end                      
eeol               47  WEAK        cool-cool-work-frame                 overnight                
ect                47  PLAUSIBLE   cool-adjust-transfer                 regulate                 
ot                 46  WEAK        work-transfer                        route                    
eok                39  WEAK        cool-work-heat                       cool                     
keeo               38  WEAK        heat-cool-cool-work                  cycle                    
op                 36  WEAK        work-pause                           start                    
cph                36  PLAUSIBLE   adjust-pause-watch                   measure                  
kee                34  LOCKED      heat-cool-cool                       deep                     
ech                34  PLAUSIBLE   cool-adjust-watch                    check                    
kc                 33  PLAUSIBLE   heat-adjust                          bond                     
ry                 33  WEAK        input-end                            finish                   
lo                 33  WEAK        frame-work                           open                     
aii                32  LOCKED      yield-iterate-iterate                open                     
ked                32  SOLID       heat-cool-mark                       release                  
oiin               32  WEAK        work-iterate-iterate-halt            loop                     
keed               30  SOLID       heat-cool-cool-mark                  vent                     
eckh               29  PLAUSIBLE   cool-adjust-heat-watch               danger                   
olk                27  WEAK        work-frame-heat                      hold                     
keo                26  WEAK        heat-cool-work                       open                     
ksh                26  PLAUSIBLE   heat-sequence-watch                  scan                     
om                 25  WEAK        work-final                           work                     
ka                 25  LOCKED      heat-yield                           fire                     
kai                24  LOCKED      heat-yield-iterate                   step                     
lsh                24  WEAK        frame-sequence-watch                 verify                   
fch                23  PLAUSIBLE   flag-adjust-watch                    note                     
ii                 23  LOCKED      iterate-iterate                      repeat                   
dai                23  SOLID       mark-yield-iterate                   ---                      
