"word"	"complex_word"	"folio"	"section"	"quire"	"panel"	"language"	"hand"	"misc"	"d.hand"	"placement"	"line_number"	"transcriber"	"line_initial"	"line_final"	"par_initial"	"par_final"
"fachys"	"fachys"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"H"	1	10	1	45
"ykal"	"ykal"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"H"	2	9	2	44
"ar"	"ar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"H"	3	8	3	43
"ataiin"	"ataiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"H"	4	7	4	42
"shol"	"shol"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"H"	5	6	5	41
"shory"	"shory"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"H"	6	5	6	40
"cthres"	"cthres"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"H"	7	4	7	39
"y"	"y"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"H"	8	3	8	38
"kor"	"kor"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"H"	9	2	9	37
"sholdy"	"sholdy"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"H"	10	1	10	36
"fachys"	"fachys"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"C"	1	10	NA	NA
"ykal"	"ykal"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"C"	2	9	NA	NA
"ar"	"ar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"C"	3	8	NA	NA
"ataiin"	"ataiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"C"	4	7	NA	NA
"shol"	"shol"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"C"	5	6	NA	NA
"shory"	"shory"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"C"	6	5	NA	NA
"cthorys"	"cthorys"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"C"	7	4	NA	NA
"y"	"y"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"C"	8	3	NA	NA
"kor"	"kor"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"C"	9	2	NA	NA
"sholdy"	"sholdy"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"C"	10	1	NA	NA
"fyays"	"fyays"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"F"	1	9	NA	NA
"ykal"	"ykal"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"F"	2	8	NA	NA
"ar"	"ar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"F"	3	7	NA	NA
"ytaiin"	"ytaiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"F"	4	6	NA	NA
"shol"	"shol"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"F"	5	5	NA	NA
"shory"	"shory"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"F"	6	4	NA	NA
"*k*res"	"*k*res"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"F"	7	3	NA	NA
"ykor"	"ykor"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"F"	8	2	NA	NA
"sholdy"	"sholdy"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"F"	9	1	NA	NA
"fachys"	"fachys"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"N"	1	10	NA	NA
"ykal"	"ykal"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"N"	2	9	NA	NA
"ar"	"ar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"N"	3	8	NA	NA
"ataiin"	"ataiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"N"	4	7	NA	NA
"shol"	"shol"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"N"	5	6	NA	NA
"shory"	"shory"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"N"	6	5	NA	NA
"cthres"	"cthres"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"N"	7	4	NA	NA
"y"	"y"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"N"	8	3	NA	NA
"kor"	"kor"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"N"	9	2	NA	NA
"sholdy"	"sholdy"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"N"	10	1	NA	NA
"fyays"	"fyays"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"U"	1	10	NA	NA
"ykal"	"ykal"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"U"	2	9	NA	NA
"ar"	"ar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"U"	3	8	NA	NA
"ytaiin"	"ytaiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"U"	4	7	NA	NA
"shol"	"shol"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"U"	5	6	NA	NA
"shory"	"shory"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"U"	6	5	NA	NA
"***r*s"	"***r*s"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"U"	7	4	NA	NA
"y"	"y"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"U"	8	3	NA	NA
"kor"	"kor"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"U"	9	2	NA	NA
"sholdo*"	"sholdo*"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"1"	"U"	10	1	NA	NA
"sory"	"sory"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"H"	1	11	11	35
"ckhar"	"ckhar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"H"	2	10	12	34
"or"	"or"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"H"	3	9	13	33
"y"	"y"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"H"	4	8	14	32
"kair"	"kair"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"H"	5	7	15	31
"chtaiin"	"chtaiin"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"H"	6	6	16	30
"shar"	"shar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"H"	7	5	17	29
"are"	"are"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"H"	8	4	18	28
"cthar"	"cthar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"H"	9	3	19	27
"cthar"	"cthar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"H"	10	2	20	26
"dan"	"dan"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"H"	11	1	21	25
"sory"	"sory"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"C"	1	12	NA	NA
"ckhar"	"ckhar"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"C"	2	11	NA	NA
"o"	"o"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"C"	3	10	NA	NA
"r"	"r"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"C"	4	9	NA	NA
"y"	"y"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"C"	5	8	NA	NA
"kain"	"kain"	"f1r"	"T"	"A"	"A"	"A"	"1"	NA	"1"	"P1"	"2"	"C"	6	7	NA	NA
